"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"22369270","https://www.airbnb.com/rooms/22371939","Scottsdale","-111.906648708297","33.5196487328763","https://maps.google.com/maps?q=33.51964873287631264,-111.90664870829741062","Hidden Garden near Old Town-5 beds Sleeps 11","11","2","3","1","138","0","Susan"
"22369347","https://www.airbnb.com/rooms/22372146","Phoenix","-111.964457299893","33.4501458636612","https://maps.google.com/maps?q=33.45014586366117015,-111.96445729989343931","One BR  Furnished  Condo Near ASU Zoo Golf","2","1","1","1","100","0","Paul"
"22369465","https://www.airbnb.com/rooms/22372263","Scottsdale","-111.93300219483","33.4584833438184","https://maps.google.com/maps?q=33.45848334381841482,-111.93300219482982527","The Portland House in South Scottsdale w/ Pool!","8","2","4","1","150","1","Jordan"
"22369556","https://www.airbnb.com/rooms/22372177","Phoenix","-112.075449683258","33.4581037368078","https://maps.google.com/maps?q=33.45810373680779293,-112.07544968325818502","Lovely Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22369566","https://www.airbnb.com/rooms/22372204","Phoenix","-112.074822741112","33.4577165154224","https://maps.google.com/maps?q=33.45771651542235503,-112.07482274111187337","Marvelous Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22369656","https://www.airbnb.com/rooms/22372247","Phoenix","-112.07592731931","33.4574551176665","https://maps.google.com/maps?q=33.45745511766652669,-112.07592731931023877","Delightful Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22369741","https://www.airbnb.com/rooms/22372355","Phoenix","-112.074480304863","33.4577992429715","https://maps.google.com/maps?q=33.45779924297152519,-112.07448030486327184","Beautiful Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22369866","https://www.airbnb.com/rooms/22372536","Phoenix","-112.074174775605","33.4577537399321","https://maps.google.com/maps?q=33.45775373993213009,-112.07417477560538543","Fabulous Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22370049","https://www.airbnb.com/rooms/22372664","Phoenix","-112.074002718161","33.4594677722773","https://maps.google.com/maps?q=33.45946777227734970,-112.07400271816106851","Classic Stay Alfred Union at Roosevelt","6","2.5","2","0","26","0","Stay Alfred"
"22370143","https://www.airbnb.com/rooms/22372766","Phoenix","-112.075503007082","33.4573398447939","https://maps.google.com/maps?q=33.45733984479385725,-112.07550300708170710","Ideal Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22370193","https://www.airbnb.com/rooms/22372788","Phoenix","-112.073982812107","33.4574251396604","https://maps.google.com/maps?q=33.45742513966036569,-112.07398281210727475","Gorgeous Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22370212","https://www.airbnb.com/rooms/22372826","Phoenix","-112.076078747913","33.4578864841551","https://maps.google.com/maps?q=33.45788648415506827,-112.07607874791294478","Brilliant Stay Alfred Union at Roosevelt","6","2.5","2","0","26","0","Stay Alfred"
"22370246","https://www.airbnb.com/rooms/22372821","Phoenix","-112.075810747728","33.4593379213961","https://maps.google.com/maps?q=33.45933792139611995,-112.07581074772826923","Exclusive Stay Alfred Union at Roosevelt","6","2.5","2","0","26","0","Stay Alfred"
"22370405","https://www.airbnb.com/rooms/22372994","Phoenix","-112.0757434059","33.4581036283707","https://maps.google.com/maps?q=33.45810362837065099,-112.07574340589951589","Breathtaking Stay Alfred Union at Roosevelt","6","2","2","0","26","0","Stay Alfred"
"22370436","https://www.airbnb.com/rooms/22373021","Phoenix","-112.074034458458","33.4586335258548","https://maps.google.com/maps?q=33.45863352585480044,-112.07403445845771728","Captivating Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22370515","https://www.airbnb.com/rooms/22373145","Phoenix","-112.074246575899","33.4581024008251","https://maps.google.com/maps?q=33.45810240082509779,-112.07424657589928074","Excellent Stay Alfred Union at Roosevelt","4","1","1","0","26","0","Stay Alfred"
"22371572","https://www.airbnb.com/rooms/22374408","Queen Creek","-111.653475501696","33.2651462180115","https://maps.google.com/maps?q=33.26514621801150895,-111.65347550169626345","Mayberry BnB Home in Quiet Family Neighborhood","4","1","2","0","60","1","Theresa"
"22371750","https://www.airbnb.com/rooms/22374577","Phoenix","-112.087478751772","33.4597967976301","https://maps.google.com/maps?q=33.45979679763012626,-112.08747875177236608","Historic Home in Downtown Phoenix w/ Pool & Spa!","5","1","3","1","70","1","Mimi'S BnB"
"22371964","https://www.airbnb.com/rooms/22374817","Scottsdale","-111.898093417671","33.4558578222595","https://maps.google.com/maps?q=33.45585782225953864,-111.89809341767148965","Entertainers Paradise","6","2","3","1","199","0","Justin"
"22372458","https://www.airbnb.com/rooms/22375239","Chandler","-111.854129861536","33.2275128443647","https://maps.google.com/maps?q=33.22751284436467500,-111.85412986153592385","Private Island Resort In The Desert!!","16","8","7","1","750","1","Bobby"
"22372460","https://www.airbnb.com/rooms/22375268","Scottsdale","-111.916302","33.60036","https://maps.google.com/maps?q=33.60036000000000000,-111.91630200000000000","Perfect Scottsdale location w/ heated pool option, pool table, & HUGE yard!","10","2","4","1","486","0","Chelsea"
